螺旋帕帕|沉船漩涡魔力之源
棋齐垒|二叠山丘、银河蛇口
棋祈督|二叠山丘、咕嘟咕嘟浅滩
棋绮后|二叠山丘、王国城堡
奔波鼠|采邑地
流浪鼠|奔波鼠40级-挖矿4次
毛毛|奥贝斯坦湖
爬爬|毛毛20级
化蝶|爬爬35级
幽影树|商店街周边、叽叽喳喳台地
小鼠獭|商店街周边
燕尾獭|小鼠獭30级
卷胡巨懒|燕尾懒48级
矿晶虫|商店街周边
晶石蜗|矿晶虫40级
奇丽草|商店街周边、白天月牙湖岸
奇丽叶|奇丽草16级
奇丽花|奇丽叶32级
丢丢|商店街周边
卡卡虫|丢丢16级
卡瓦重|卡卡虫36级
护主犬|月牙湖岸、聆风塔地
音速犬|护主犬26级
绿耳松鼠|清风山、白天奥贝斯坦湖
抱枕松鼠|绿耳松鼠23级
蹦床松鼠|抱枕松鼠46级
嘟嘟煲|炼金台附近
嘟嘟锅|嘟嘟煲38级
小灵面|夜晚商店街周边
暗影灵面|小灵面20级
幽冥眼|暗影灵面32级
梦游|夜晚月牙湖岸
梦悠悠|梦游32级
兽花蕾|甜水农庄
伏地兽|学院驻地-智慧树苗-果实
贪食鼹|伏地兽20级击败3虫系精灵
巨噬针鼹|贪食鼹32级击败3虫系精灵
爵士鹿|奔乐鹿40级
缇塔|望风半岛魔力之源-北
声波缇塔|塔40级
小鹬|望风半岛-南-海滩
鄙目鹬|小鹬16级
高脚鹬|鄙目鹬32级
脆筒甜甜|彼得大道广场-冰淇淋摊主对话-抓取
香草甜甜|脆筒甜甜28级
圣代甜甜|香草甜甜40级进化
刺轮砣|彼得大道魔力之源西侧-海里
月亮砣|刺轮砣40级
豆丁鱼|彼得大道-艾普鲁庄园-南
快鳍鱼|豆丁鱼20级
龙鱼|快鳍鱼32级
胆小鳗鱼|艾普鲁庄园-西
闪电鳗鱼|胆小鳗鱼36级
翡翠水母|夜晚艾普鲁庄园-西南
琉璃水母|翡翠水母26级
裘洛|望风半岛魔力之源-西南-智慧树苗-果实
裘力|裘洛20级
裘卡|裘力30级
可爱猿|港口驻地魔力之源-东-智慧树苗-果实
炽热猿|可爱猿28级
火焰猿|炽热猿40级
布鲁斯|向日葵海岸魔力之源-北-智慧树苗-果实
雪顶布鲁斯|布鲁斯36级
冰钻布鲁斯|雪顶布鲁斯42级
治愈兔|洛克里安-白天晨曦山魔力之源
红丝绒|治愈兔16级
红绒十字|红丝绒36级
乌达|回填山涧魔力之源
迷你乌|乌达30级
乌拉塔|迷你乌50级
